County,State,Accidents
Abbeville,SC,112
Acadia,LA,19
Accomack,VA,24
Ada,ID,70
Adair,IA,42
Adair,MO,2
Adams,PA,101
Adams,CO,2516
Adams,IA,1
Adams,OH,6
Adams,WA,8
Adams,IN,9
Adams,NE,3
Adams,WI,7
Adams,IL,1
Adams,ID,9
Adams,MS,1
Addison,VT,5
Aiken,SC,1019
Aitkin,MN,78
Alachua,FL,294
Alamance,NC,106
Alameda,CA,14130
Alamosa,CO,2
Albany,NY,1825
Albany,WY,14
Albemarle,VA,414
Alcona,MI,2
Alcorn,MS,1
Alexander,NC,5
Alexander,IL,2
Alexandria,VA,414
Allegan,MI,138
Allegany,MD,61
Allegany,NY,8
Alleghany,VA,31
Alleghany,NC,6
Allegheny,PA,2126
Allen,IN,82
Allen,OH,27
Allen,KS,1
Allendale,SC,31
Alpena,MI,9
Alpine,CA,38
Amador,CA,262
Amelia,VA,59
Amherst,VA,36
Amite,MS,1
Anderson,SC,3410
Anderson,TN,38
Anderson,TX,1
Anderson,KY,1
Androscoggin,ME,18
Angelina,TX,26
Anne Arundel,MD,1210
Anoka,MN,1251
Anson,NC,4
Antrim,MI,6
Apache,AZ,107
Appling,GA,4
Appomattox,VA,29
Arapahoe,CO,1658
Archer,TX,3
Archuleta,CO,2
Arenac,MI,9
Arkansas,AR,3
Arlington,VA,519
Armstrong,PA,14
Aroostook,ME,15
Ascension,LA,112
Ashe,NC,7
Ashland,OH,6
Ashland,WI,1
Ashley,AR,5
Ashtabula,OH,8
Asotin,WA,3
Assumption,LA,2
Atascosa,TX,7
Atchison,MO,2
Athens,OH,3
Atkinson,GA,7
Atlantic,NJ,232
Audubon,IA,2
Auglaize,OH,7
Augusta,VA,361
Austin,TX,5
Autauga,AL,183
Avery,NC,4
Avoyelles,LA,1
Baca,CO,18
Bacon,GA,1
Baker,OR,508
Baker,FL,135
Baker,GA,2
Baldwin,AL,470
Baldwin,GA,27
Baltimore,MD,19
Baltimore City,MD,1237
Baltimore County,MD,1969
Bamberg,SC,85
Banks,GA,58
Bannock,ID,26
Barbour,AL,34
Barbour,WV,1
Barnstable,MA,242
Barnwell,SC,67
Barren,KY,2
Barron,WI,2
Barrow,GA,77
Barry,MI,17
Bartholomew,IN,76
Barton,MO,1
Bartow,GA,124
Bastrop,TX,27
Bath,KY,2
Bath,VA,4
Baxter,AR,1
Bay,FL,326
Bay,MI,112
Bayfield,WI,2
Baylor,TX,3
Bear Lake,ID,2
Beaufort,SC,710
