City,County,State,Accidents
Abbeville,Abbeville,SC,36
Abbeville,Henry,AL,2
Abbotsford,Marathon,WI,1
Abbott,Hill,TX,1
Aberdeen,Harford,MD,37
Aberdeen,Grays Harbor,WA,8
Aberdeen,Moore,NC,1
Abilene,Taylor,TX,4
Abingdon,Washington,VA,20
Abingdon,Harford,MD,32
Abington,Montgomery,PA,81
Abington,Plymouth,MA,4
Absecon,Atlantic,NJ,16
Acampo,San Joaquin,CA,105
Accokeek,Prince George's,MD,7
Accord,Ulster,NY,1
Acme,Westmoreland,PA,4
Acme,Whatcom,WA,2
Acton,Los Angeles,CA,283
Acton,Middlesex,MA,20
Acushnet,Bristol,MA,1
Acworth,Bartow,GA,15
Acworth,Cobb,GA,5
Acworth,Cherokee,GA,33
Acworth,Paulding,GA,1
Ada,Kent,MI,5
Adair,Adair,IA,7
Adairsville,Bartow,GA,8
Adairsville,Gordon,GA,2
Adams,Montgomery,TN,3
Adams,Umatilla,OR,23
Adams,Jefferson,NY,1
Adamstown,Frederick,MD,11
Adamsville,Jefferson,AL,3
Addis,West Baton Rouge,LA,1
Addison,DuPage,IL,249
Addison,Dallas,TX,9
Addison,Winston,AL,4
Addison,Somerset,PA,1
Addyston,Hamilton,OH,1
Adel,Cook,GA,1
Adel,Lake,OR,24
Adel,Dallas,IA,2
Adelanto,San Bernardino,CA,18
Adelphi,Prince George's,MD,6
Adelphi,Prince Georges,MD,17
Adger,Jefferson,AL,1
Adrian,Nobles,MN,21
Adrian,Deaf Smith,TX,1
Advance,Davie,NC,33
Afton,Chenango,NY,1
Afton,Washington,MN,24
Afton,Nelson,VA,4
Agate,Elbert,CO,2
Agawam,Hampden,MA,4
Agoura Hills,Los Angeles,CA,130
Ahoskie,Hertford,NC,5
Ahwahnee,Madera,CA,16
Ahwahnee,Mariposa,CA,1
Aiken,Aiken,SC,173
Ailey,Montgomery,GA,1
Ainsworth,Washington,IA,1
Airville,York,PA,14
Airway Heights,Spokane,WA,2
Aitkin,Aitkin,MN,33
Aitkin,Crow Wing,MN,2
Ajo,Pima,AZ,3
Akeley,Hubbard,MN,12
Akeley,Cass,MN,1
Akron,Summit,OH,329
Akron,Erie,NY,4
Akron,Lancaster,PA,3
Akron,Washington,CO,1
Alabaster,Shelby,AL,27
Alachua,Alachua,FL,21
Alameda,Alameda,CA,4
Alamo,Contra Costa,CA,205
Alamo,Lincoln,NV,3
Alamo,Crockett,TN,2
Alamo,Hidalgo,TX,4
Albany,Albany,NY,246
Albany,Dougherty,GA,5
Albany,Linn,OR,238
Albany,Stearns,MN,22
Albany,Benton,OR,11
